id,jcwName
1,IEEE Transactions on Cloud Computing
2,IEEE Transactions on Knowledge and Data Engineering
3,Journal of Big Data
4,ACM Computing Surveys
5,Nature
6,Journal of Data Mining and Digital Humanities
7,Science
8,IEEE Transactions on Services Computing
9,Journal of Biomedical Semantics
10,IEEE Transactions on Pattern Analysis and Machine Intelligence
11,IEEE Transactions on Parallel and Distributed Systems
12,Light: Science & Applications
13,IEEE Access
14,"Soft Computing - A Fusion of Foundations, Methodologies and Applications"
15,Future generations computer systems
16,BioTechniques
17,IEEE Data Engineering Bulletin
18,Business & Information Systems Engineering
19,Expert systems with applications
20,Distributed and parallel databases
21,Scientific Data
22,Proceedings of the VLDB Endowment
23,IEEE Transactions on Artificial Intelligence
24,Nucleic Acids Research
25,Social Science Research Network
26,Journal of Chemical Information and Modeling
27,Contemporary Sociology
28,IEEE Transactions on Emerging Topics in Computing
29,Social Psychology and Personality Science
30,IEEE Transactions on Image Processing
31,Physical Review Letters
32,Genome Biology
33,Metabolomics
34,Journal on Data Semantics
35,Genome Research
36,Journal of Applied Science and Technology Trends
37,"Annual review of political science (Palo Alto, Calif. Print)"
38,Enterprise Information Systems
39,Acta Crystallographica Section D: Biological Crystallography
40,IEEE Signal Processing Magazine
41,IEEE Transactions on Information Forensics and Security
42,ACM Journal of Data and Information Quality
43,Springer US
44,IEEE Transactions on Industrial Informatics
45,Journal of Applied Crystallography
46,International Journal of Digital Earth
47,Nature Biotechnology
48,College and Research Libraries
49,Small Structures
50,The International Journal of Advanced Manufacturing Technology
51,ACS Nano
52,Journal of the American Society for Information Science
53,Nature Materials
54,Journal of machine learning research
55,Nature Methods
56,Military Medical Research
57,British Journal of Management
58,Neural Networks
59,Multimedia tools and applications
60,IEEE Communications Letters
61,Computer
62,Small Business Economics
63,IEEE Transactions on Evolutionary Computation
64,International Journal of Information Management
65,Data mining and knowledge discovery
66,Astronomy & Astrophysics
67,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
68,Computational materials science
69,Mechanical systems and signal processing
70,IEEE Internet of Things Journal
71,Tidsskrift for Den Norske Laegeforening
72,Nature Communications
73,IEEE Micro
74,International Journal of Data Science and Analysis
75,IEEE Transactions on Vehicular Technology
76,Entropy
77,International Journal of Electrical and Electronic Engineering & Telecommunications
78,Journal of Supercomputing
79,Applied and Environmental Microbiology
80,Statistics Survey
81,International journal of communication and information technology
82,Information Systems
83,EURASIP Journal on Advances in Signal Processing
84,Proceedings of the National Academy of Sciences of the United States of America
85,Mobile Information Systems
86,National Science Review
87,Molecular diversity
88,Information Sciences
89,Nature Machine Intelligence
90,The Journal of the Learning Sciences
91,Small
92,Neurocomputing
93,Water Research
94,Communications of the ACM
95,International Journal of Data Mining Techniques and Applications
96,Management Decision
97,The VLDB journal
98,Health Research Policy and Systems
99,Applied Stochastic Models in Business and Industry
100,Journal of Computational Science and Technology
101,Sustainability
102,Synthesis Lectures on Human Language Technologies
103,IEEE/CAA Journal of Automatica Sinica
104,Genome Medicine
105,Cell
106,Big Data & Society
107,Advanced Energy Materials
108,Journal of medical systems
109,IEEE Communications Surveys and Tutorials
110,Journal of Statistics and Data Science Education
111,International Journal for Research in Applied Science and Engineering Technology
112,PLoS ONE
113,Nature Protocols
114,bioRxiv
115,The Information Society
116,IEEE Cloud Computing
117,BMC Bioinformatics
