authorId,authorName,affiliatedOrg
153842832,R. Shah,1
145373888,Reihaneh H. Hariri,1
2441288,A. Beloglazov,1
1980031,Christian Quast,1
2641234,N. Golde,1
1683219,Ligang He,1
20779472,Mentewab Ayalew,1
15134462,T. Schultz,1
33372120,Nikolas Ioannou,1
50470670,Fangyuan Sui,1
35087612,Wilson C. Hsieh,1
1769868,J. Shanmugasundaram,1
1698747,Jichuan Chang,1
2146285954,Haiyang Huang,1
2058007378,D. Lightfoot,1
33810865,S. Brandt,1
2111707474,Pedro A. C. Sousa,1
144271318,B. Hillebrands,1
47777448,Hannah A. Pliner,1
48043335,Richang Hong,1
2159065,H. Horimai,1
33422510,E. Silva,1
1500391633,Tianli Zhou,1
145194157,Jianjun Luo,1
50778791,Jianjun Hu,1
3210262,Senzhang Wang,1
1856878,U. F. Minhas,1
8606450,Kyle W. Karhohs,1
2448692,M. Polajnar,1
1927081,Anastasia Krithara,1
2107495521,H. Guo,1
2162210436,Stephen M. Smith,1
48219927,Dawei Jiang,1
1939433,T. Przytycka,1
2143328859,Hansaem Lee,1
2107286282,S. Roy,2
1741044,Murat Kantarcioglu,2
2076086,Fethi Bougares,2
2112620981,Hua Gao,2
2073806959,Tushar Chandra,2
143712929,R. He,2
47685761,B. Husemann,2
9195315,Gao Hongmin,2
153610437,Devesh Srivastava,2
1892798389,Xiaomin Fang,2
46521834,Xiangbin Liu,2
2121402780,Yunxia Wang,2
79734689,B. Hickson,2
4865049,P. Discenna,2
1802084,Susan P. Williams,2
2063047670,Ting Deng,2
2115252929,Xin Lin,2
1691804,D. Ballard,2
2000280123,P. Chlap,2
48275624,S. Berg,2
2834950,Bernhard X. Kausler,2
1718134,M. Balazinska,2
1755163,A. Kovatich,2
47484023,Quoc-Cuong To,2
34592319,R. Cappelli,2
2152883199,Haici Jin,2
2110218251,Ji Wang,2
46993938,Z. Kudyshev,2
98256743,Zhi Yang,2
34889832,Yafei Dai,2
1745169,P. Bartlett,2
5442167,Yiran Chen,2
2158625964,Wei Wang,2
48905676,Sunil Prabhakar,2
2117879943,Chuxu Zhang,2
1943226,M. Karpathiotakis,2
36393432,Slava Chernyak,2
2169212913,S. Jain,3
2115780475,Junling Liang,3
1732570,M. Bronstein,3
11039424,Victor Maus,3
2365155,S. Deerwester,3
1735065,K. Skadron,3
145404204,Cees G. M. Snoek,3
2635216,Sohaib Ghani,3
2264650,Gholamhosein Sheikholeslami,3
12717353,W. Xiao-chang,3
3383611,Kartik Lakhotia,3
3097765,A. K. Sangaiah,3
