id,jcwName
1,AAAI Conference on Artificial Intelligence
2,ACM SIGMOD Conference
3,International Conference on Learning Representations
4,Database Security
5,Very Large Data Bases Conference
6,IEEE International Conference on Data Engineering
7,European Conference on Computer Vision
8,International Symposium on Intelligent Data Analysis
9,American Medical Informatics Association Annual Symposium
10,Knowledge Discovery and Data Mining
11,Extended Semantic Web Conference
12,IEEE Symposium on Security and Privacy
13,International Conference on Machine Learning
14,"Design, Automation and Test in Europe"
15,USENIX Annual Technical Conference
16,Conference on Empirical Methods in Natural Language Processing
17,Symposium on the Theory of Computing
18,Italian National Conference on Sensors
19,Conference on Computer Supported Cooperative Work
20,Symposium on Field Programmable Gate Arrays
21,Computer Vision and Pattern Recognition
22,Neural Information Processing Systems
23,USENIX Symposium on Operating Systems Design and Implementation
24,IEEE International Parallel and Distributed Processing Symposium
25,International Symposium on Low Power Electronics and Design
26,International Conference on Human Factors in Computing Systems
27,International Conference on Field-Programmable Logic and Applications
28,International Conference on Architectural Support for Programming Languages and Operating Systems
29,IEEE Conference on Computer Communications
30,Bio-Science and Bio-Technology
31,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming
32,International Conference on Extending Database Technology
33,International Conference on High Performance Computing
34,International Conference on Parallel Architectures and Compilation Techniques
35,Conference on Innovative Data Systems Research
36,Interational Conference on Web-Age Information Management
37,Educational Data Mining
38,International Conference on Information Integration and Web-based Applications & Services
39,Annual Conference on Genetic and Evolutionary Computation
40,European Conference on Computer Systems
41,Asia and South Pacific Design Automation Conference
42,Decision Support Systems
43,International Conference on Computing Communication and Networking Technologies
44,IEEE Symposium on Field-Programmable Custom Computing Machines
45,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval
46,"IEEE International Conference on Acoustics, Speech, and Signal Processing"
47,Symposium on Operating Systems Principles
48,International Symposium on Computer Architecture
49,International Conference on Language Resources and Evaluation
50,European Conference on Parallel Processing
51,International Conference on Knowledge-Based Intelligent Information & Engineering Systems
52,Product Lifecycle Management
53,ACM International Conference on Computing Frontiers
54,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems
55,ACM Asia Conference on Computer and Communications Security
56,IEEE International Symposium on Workload Characterization
57,Digital library
58,International Conference on Innovative Computing and Cloud Computing
59,International Joint Conference on Artificial Intelligence
60,USENIX Security Symposium
61,International Conference on Advances in System Simulation
62,Micro
63,IEEE International Conference on Computer Vision
64,International Conference on Software Composition
65,International Conference on Metadata and Semantics Research
66,International Conference on Data Science in Cyberspace
67,Conference on Computer and Communications Security
68,"International Conference on Communication, Computing & Security"
69,International Symposium on High-Performance Computer Architecture
70,World Congress on Services
71,The Web Conference
72,IEEE International Symposium on Software Reliability Engineering
73,ACM Symposium on Cloud Computing
74,European Symposium on Security and Privacy
75,USENIX Conference on File and Storage Technologies
76,International Conference on Learning Analytics and Knowledge
77,International Conference on Advanced Infocomm Technology
78,International Conference on Flexible Query Answering Systems
79,BigData Congress [Services Society]
80,European Conference on Information Systems
81,Symposium on Information Management and Big Data
82,Brazilian Symposium on Databases
83,IEEE International Conference on Information Reuse and Integration
84,International Conference on Virtual Storytelling
85,ACM Interational Symposium on Mobile Ad Hoc Networking and Computing
86,"International Convention on Information and Communication Technology, Electronics and Microelectronics"
87,IEEE International Conference on Cloud Computing
88,International Symposium on Parallel and Distributed Computing
89,ACM Great Lakes Symposium on VLSI
90,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication"
91,Symposium on Networked Systems Design and Implementation
92,"International Colloquium on Automata, Languages and Programming"
93,European Conference on Optical Communication
94,IEEE International Conference on Cluster Computing
95,IEEE International Symposium on High-Performance Parallel Distributed Computing
96,International Conference on Web Reasoning and Rule Systems
97,International Conference on Automation and Computing
98,International Conference on Open and Big Data
99,International Conference on Applications of Natural Language to Data Bases
100,Cyber ..
101,European Conference on Principles of Data Mining and Knowledge Discovery
102,"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing"
103,Fundamental Approaches to Software Engineering
104,International Conference on Big Data Computing and Communications
105,International Conference on Artificial Intelligence and Statistics
106,Visual ..
107,Annual Meeting of the Association for Computational Linguistics
108,International Conference on Conceptual Structures
109,Technical Symposium on Computer Science Education
110,Security and Artificial Intelligence
111,IEEE International Conference on Distributed Computing Systems
112,International Conference on the Unified Modeling Language
113,"ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity"
114,Design Automation Conference
115,EUROMICRO Conference on Software Engineering and Advanced Applications
116,Pacific Rim International Symposium on Dependable Computing
117,International Conference on Information Security and Cryptology
118,International Conference on Software Engineering
119,International Conference on Information and Knowledge Management
120,International Conference on Computational Statistics
